London;7.2
Tokyo;12.4
Paris;9.6
Delhi;28.6
Sydney;21.4
Tokyo;13.0
London;8.1
Sydney;22.0
Delhi;29.1
Paris;10.1
London;6.9
Delhi;27.9
Tokyo;11.8
Paris;8.9
Sydney;20.8
Delhi;28.4
Paris;9.4
London;7.7
Tokyo;12.7
Sydney;21.7
Paris;10.3
Delhi;29.3
Tokyo;13.2
London;7.0
Sydney;22.2
Delhi;28.0
Paris;9.0
Tokyo;12.1
London;8.3
Sydney;21.1
Delhi;27.7
Paris;8.7
Tokyo;11.9
London;7.4
Sydney;20.9
Delhi;28.9
Paris;9.9
Tokyo;13.5
London;6.8
Sydney;22.5
Delhi;29.0
Paris;10.0
Tokyo;12.6
London;7.9
Sydney;21.6
Delhi;28.2
Paris;9.2
Tokyo;12.8
London;7.1
Sydney;21.8
